tudo	Tudo	PI0NN000	tudo
o	o	DA0MS0	o
q	que	PR0CN000	que
atras	atrás	RG	atrás
peso	peço	VMIP1S0	pedir
he	e	CC	e
	,	Fc	,
Bem	bem	RG	bem
entendido	entendido	VMP00SM	entender
	,	Fc	,
avendo	havendo	VAG0000	haver
Deos	Deus	NP00000	deus
levado	levado	VMP0000	levar
em	em	SPS00	em
pas	paz	NCFS000	paz
os	os	DA0MP0	o
asuqres	açúcares	NCMP000	açúcar
que	que	PR0CN000	que
na	na	SPS00+DA0FS0	em+o
minha	minha	PX1FS0S0	meu
avizo	aviso	VMIP1S0	avisar
a	a	DA0FS0	o
Vm	VM	NP00000	VM
aver	haver	VAN0000	haver
remetido	remetido	VMP0000	remeter
	,	Fc	,
em	em	SPS00	em
cazo	caso	NCMS000	caso
que	que	PR0CN000	que
não	não	RN	não
nada	nada	PI0NN00N	nada
	.	Fp	.
De	De	SPS00	de
Vm	VM	NP00000	VM
	,	Fc	,
IZaq	Isaac	NP00000	isaac
de	de	SPS00	de
meza	Mesa	NP00000	mesa
tãobem	Também	RG	também
me	me	PP1CS000	me
fara	fará	VMIF3S0	fazer
Vm	VM	NP00000	VM
m	mercê	NCFS000	mercê
mandar	mandar	VMN0000	mandar
huã	uma	DI0FS0	um
botica	botica	NCFS000	botica
o	ou	CC	ou
cachadela	cachadela	NCFS000	cachadela
que	que	PR0CN000	que
custe	custe	VMSP0S0	custar
até	até	SPS00	até
	,	Fc	,
com	com	SPS00	com
suas	suas	DP3FP0	seu
lansetas	lancetas	NCFP000	lanceta
	,	Fc	,
navalhas	navalhas	NCFP000	navalha
e	e	CC	e
tizora	tesoura	NCFS000	tesoura
	,	Fc	,
a	a	DA0FS0	o
mais	mais	RC	mais
bem	bem	RG	bem
porvida	provida	VMP00SF	prover
de	de	SPS00	de
Cordiais	cordiais	AQ0CP0	cordial
purgas	purgas	NCFP000	purga
he	e	CC	e
emgointos	unguentos	NCMP000	unguento
que	que	PR0CN000	que
posa	possa	VMSP0S0	poder
ser	ser	VSN0000	ser
	.	Fp	.
he	E	CC	e
o	o	DA0MS0	o
custo	custo	NCMS000	custo
se	se	P00CN000	se
a	há	VMIP3S0	haver
de	de	SPS00	de
pagar	pagar	VMN0000	pagar
somte	somente	RG	somente
maior	maior	AQ0CS0	maior
ho	ou	CC	ou
qta	conta	NCFS000	conta
de	de	SPS00	de
ambos	ambos	DI0MP0	ambos
	,	Fc	,
que	que	CS	que
he	é	VSIP3S0	ser
pa	para	SPS00	para
a	a	DA0FS0	o
plantagen	plantagem	NCFS000	plantagem
de	de	SPS00	de
q	que	PR0CN000	que
Vm	VM	NP00000	VM
sera	será	VSIF3S0	ser
servido	servido	VMP00SM	servir
dar	dar	VMN0000	dar
qta	conta	NCFS000	conta
ha	a	SPS00	a
luis	Luís	NP00000	luís
dias	Dias	NP00000	dias
	,	Fc	,
avendo	havendo	VMG0000	haver
oCazião	ocasião	NCFS000	ocasião
de	de	SPS00	de
o	o	PP3MSA00	o
fazer	fazer	VMN0000	fazer
	,	Fc	,
Não	não	RN	não
Esquesendo	esquecendo	VMG0000	esquecer
nela	nela	SPS00+PP3FS000	em+ele
1	1	Z	1
ũ	ũ	X	X
de	de	SPS00	de
erva	erva	NCFS000	erva
lemteigeira	lenteigueira	AQ0FS0	lenteigueiro
	.	Fp	.
