Meu	Meu	DP1MSS	meu
Pe	padre	NCMS000	padre
Anto	António	NP00000	antónio
da	da	SPS00+DA0FS0	de+o
Affa	Fonseca	NP00000	fonseca
	.	Fp	.
Como	Como	CS	como
não	não	RN	não
tenho	tenho	VMIP1S0	ter
tempo	tempo	NCMS000	tempo
de	de	SPS00	de
falar	falar	VMN0000	falar
cõ	com	SPS00	com
vmce	VM	NP00000	VM
de	de	SPS00	de
dia	dia	NCMS000	dia
	,	Fc	,
q	que	CS	que
todas	todas	DI0FP0	todo
as	as	DA0FP0	o
horas	horas	NCFP000	hora
tenho	tenho	VAIP1S0	ter
tomadas	tomadas	VMP0000	tomar
e	e	CC	e
he	é	VSIP3S0	ser
mto	muito	RQ	muito
necessro	necessário	AQ0MS0	necessário
q	que	CS	que
nos	nos	PP1CP000	nos
vejamos	vejamos	VMSP1P0	ver
	,	Fc	,
vinha	vinha	VMII0S0	vir
vmce	VM	NP00000	VM
cear	cear	VMN0000	cear
hoje	hoje	RG	hoje
comigo	comigo	SPS00+PP1CSO00	com+mim
e	e	CC	e
neste	neste	SPS00+DD0MS0	em+este
Covto	convento	NCMS000	convento
dormira	dormirá	VMIF3S0	dormir
esta	esta	DD0FS0	este
noite	noite	NCFS000	noite
e	e	CC	e
assi	assim	RG	assim
temos	temos	VMIP1P0	ter
tempo	tempo	NCMS000	tempo
pa	para	SPS00	para
falarmos	falarmos	VMN01P0	falar
.	.	Fp	.
E	E	CC	e
assi	assim	RG	assim
o	o	PP3MSA00	o
informo	informo	VMIP1S0	informar
sor	Senhor	NP00000	senhor
Bpo	Bispo	NP00000	bispo
	,	Fc	,
com	com	SPS00	com
quem	quem	PR0CN000	quem
falei	falei	VMIS1S0	falar
esta	esta	DD0FS0	este
menhãa	manhã	NCFS000	manhã
	.	Fp	.
nosso	Nosso	DP1MSP	nosso
sor	Senhor	NP00000	senhor
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
vme	VM	NP00000	VM
como	como	CS	como
deve	deve	VMIP3S0	dever
	.	Fp	.
Covto	Convento	NP00000	convento
de	de	SPS00	de
xpo	XPO	NP00000	cristo
	,	Fc	,
em	em	SPS00	em
Domingo	domingo	NCMS000	domingo
	.	Fp	.
servo	Servo	NCMS000	servo
de	de	SPS00	de
vmce	VM	NP00000	VM
	,	Fc	,
Fr	Francisco	NP00000	francisco
Marto	Martinho	NP00000	martinho
Pra	Pereira	NP00000	pereira
