Mto	Muito	RQ	muito
Illustres	Ilustres	AQ0CP0	ilustre
sõrs	Senhores	NP00000	senhor
	.	Fp	.
o	O	DA0MS0	o
ser	ser	VSN0000	ser
molher	mulher	NCFS000	mulher
e	e	CC	e
não	não	RN	não
poder	poder	VMN0000	poder
pesoalmte	pessoalmente	RG	pessoalmente
Repreçentar	representar	VMN0000	representar
a	a	SPS00	a
esa	essa	DD0FS0	esse
santa	santa	AQ0FS0	santo
menza	mesa	NCFS000	mesa
as	as	DA0FP0	o
cauzas	causas	NCFP000	causa
de	de	SPS00	de
justiza	justiça	NCFS000	justiça
de	de	SPS00	de
Antonio	António	NP00000	antónio
barboza	Barbosa	NP00000	barbosa
e	e	CC	e
mel	Manuel	NP00000	manuel
barboza	Barbosa	NP00000	barbosa
	,	Fc	,
que	que	PR0CN000	que
ha	há	VMIP3S0	haver
tantos	tantos	DI0MP0	tanto
annos	anos	NCMP000	ano
padesem	padecem	VMIP3P0	padecer
nesa	nessa	SPS00+DD0FS0	em+esse
prisão	prisão	NCFS000	prisão
,	,	Fc	,
por	por	SPS00	por
ventura	ventura	NCFS000	ventura
por	por	SPS00	por
testemunhos	testemunhos	NCMP000	testemunho
falsos	falsos	AQ0MP0	falso
de	de	SPS00	de
enemiguos	inimigos	NCMP000	inimigo
que	que	PR0CN000	que
a	a	SPS00	a
vssrias	VSas	NP00000	VSa
serão	serão	VSIF3P0	ser
preçentes	presentes	AQ0CP0	presente
como	como	SPS00	como
ministros	ministros	NCMP000	ministro
tão	tão	RC	tão
Retos	retos	AQ0MP0	reto
e	e	CC	e
que	que	PR0CN000	que
só	só	RG	só
tratão	tratam	VMIP3P0	tratar
da	da	SPS00+DA0FS0	de+o
salvasão	salvação	NCFS000	salvação
das	das	SPS00+DA0FP0	de+o
almas	almas	NCFP000	alma
	,	Fc	,
me	me	PP1CS000	me
desculpa	desculpa	VMIP3S0	desculpar
para	para	SPS00	para
com	com	SPS00	com
esta	esta	PD0FS000	este
ofereser	oferecer	VMN0000	oferecer
nas	nas	SPS00+DA0FP0	em+o
mãos	mãos	NCFP000	mão
de	de	SPS00	de
vssrias	VSas	NP00000	VSa
,	,	Fc	,
e	e	CC	e
em	em	SPS00	em
seaus	seus	DP3MP0	seu
nomes	nomes	NCMP000	nome
deles	deles	SPS00+PP3MP000	de+ele
	,	Fc	,
ese	esse	DD0MS0	esse
papel	papel	NCMS000	papel
de	de	SPS00	de
contraditas	contraditas	NCFP000	contradita
que	que	PR0CN000	que
bem	bem	RG	bem
mostrão	mostram	VMIP3P0	mostrar
o	o	DA0MS0	o
que	que	PR0CN000	que
asima	acima	RG	acima
diguo	digo	VMIP1S0	dizer
,	,	Fc	,
e	e	CC	e
sobre	sobre	SPS00	sobre
que	que	PR0CN000	que
pesso	peço	VMIP1S0	pedir
a	a	SPS00	a
vssrias	VSas	NP00000	VSa
	,	Fc	,
pelas	pelas	SPS00+DA0FP0	por+o
chagas	chagas	NCFP000	chaga
de	de	SPS00	de
jesu	Jesus	NP00000	jesus
cristo	Cristo	NP00000	cristo
	,	Fc	,
mandem	mandem	VMSP3P0	mandar
fazer	fazer	VMN0000	fazer
as	as	DA0FP0	o
deligençias	diligências	NCFP000	diligência
	,	Fc	,
que	que	PR0CN000	que
em	em	SPS00	em
materias	matérias	NCFP000	matéria
de	de	SPS00	de
tanto	tanto	DI0MS0	tanto
pezo	peso	NCMS000	peso
costumão	costumam	VMIP3P0	costumar
	,	Fc	,
para	para	SPS00	para
que	que	CS	que
a	a	DA0FS0	o
verdade	verdade	NCFS000	verdade
se	se	P00CN000	se
saiba	saiba	VMSP0S0	saber
	,	Fc	,
que	que	CS	que
he	é	VSIP3S0	ser
só	só	RG	só
o	o	DA0MS0	o
intento	intento	NCMS000	intento
dese	desse	SPS00+DD0MS0	de+esse
santo	santo	AQ0MS0	santo
tribunal	tribunal	NCMS000	tribunal
	,	Fc	,
cujo	cujo	PU0MS000	cujo
aumento	aumento	NCMS000	aumento
das	das	SPS00+DA0FP0	de+o
enlustres	ilustres	AQ0CP0	ilustre
pesoas	pessoas	NCFP000	pessoa
de	de	SPS00	de
vosassrias	VSas	NP00000	VSa
fico	fico	VMIP1S0	ficar
pedindo	pedindo	VMG0000	pedir
a	a	SPS00	a
ds	Deus	NP00000	deus
noso	Nosso	DP1MSP	nosso
snor	Senhor	NP00000	senhor
e	e	CC	e
etc	etc	NCMS000	etc
	.	Fp	.
alemquer	Alenquer	NP00000	alenquer
	,	Fc	,
6	6	Z	6
de	de	SPS00	de
maio	maio	NCMS000	maio
636	636	Z	636
	.	Fp	.
Anna	Ana	NP00000	ana
do	do	SPS00+DA0MS0	de+o
vale	Vale	NP00000	vale
