Meu	Meu	DP1MSS	meu
sobro	Sobrinho	NP00000	sobrinho
E	e	CC	e
sor	Senhor	NP00000	senhor
como	Como	CS	como
Vm	VM	NP0S000	VM
se	se	P00CN000	se
remete	remete	VMIP3S0	remeter
na	na	SPS00+DA0FS0	em+o
sua	sua	PX3FS000	seu
a	a	SPS00	a
mel	Manuel	NP00000	manuel
da	da	SPS00+DA0FS0	de+o
cunha	Cunha	NP00000	cunha
	,	Fc	,
dando	dando	VMG0000	dar
credito	crédito	NCMS000	crédito
o	ao	SPS00+DA0MS0	a+o
q	que	PR0CN000	que
Elle	ele	PP3MS000	ele
me	me	PP1CS000	me
dis	diz	VMIP3S0	dizer
	,	Fc	,
creio	creio	VMIP1S0	crer
acha	acha	VMIP3S0	achar
esta	está	VMIP3S0	estar
a	a	DA0FS0	o
Vm	VM	NP0S000	VM
Em	em	SPS00	em
casa	casa	NCFS000	casa
do	do	SPS00+DA0MS0	de+o
sor	senhor	NP00000	senhor
mel	Manuel	NP00000	manuel
Barata	Barata	NP00000	barata
;	.	Fp	.
E	E	CC	e
es-timo	estimo	VMIP1S0	estimar
q	que	CS	que
esteja	esteja	VMSP0S0	teja
Vm	VM	NP0S000	VM
em	em	SPS00	em
tão	tão	RC	tão
boa	boa	AQ0FS0	bom
casa	casa	NCFS000	casa
E	e	CC	e
entre	entre	SPS00	entre
vozinhos	vizinhos	NCMP000	vizinho
taõ	tão	RC	tão
honrados	honrados	VMP00PM	honrar
como	como	CS	como
Elle	ele	PP3MS000	ele
ten	tem	VMIP3S0	ter
	.	Fp	.
e	E	CC	e
tambem	também	RG	também
estimo	estimo	VMIP1S0	estimar
a	a	DA0FS0	o
cautela	cautela	NCFS000	cautela
q	que	PR0CN000	que
Elle	ele	PP3MS000	ele
me	me	PP1CS000	me
dis	diz	VMIP3S0	dizer
Vm	VM	NP0S000	VM
tem	tem	VMIP3S0	ter
na	na	SPS00+DA0FS0	em+o
sua	sua	DP3FS0	seu
pessoa	pessoa	NCFS000	pessoa
	,	Fc	,
q	que	PR0CN000	que
toda	toda	DI0FS0	todo
he	é	VSIP3S0	ser
nesesaria	necessária	AQ0FS0	necessário
	.	Fp	.
cõtudo	Contudo	RG	contudo
	,	Fc	,
iveta	inventa	VMIP3S0	inventar
q	que	CS	que
Vm	VM	NP0S000	VM
me	me	PP1CS000	me
não	não	RN	não
pesa	peça	VMSP0S0	pedir
concelho	conselho	NCMS000	conselho
	.	Fp	.
não	Não	RN	não
posso	posso	VMIP1S0	poder
deixar	deixar	VMN0000	deixar
de	de	SPS00	de
lhe	lhe	PP3CSD00	lhe
diser	dizer	VMN0000	dizer
o	o	DA0MS0	o
q	que	PR0CN000	que
me	me	PP1CS000	me
parese	parece	VMIP3S0	parecer
;	.	Fp	.
E	E	CC	e
assim	assim	RG	assim
o	o	PP3MSA00	o
cudo	cuido	VMIP1S0	cuidar
q	que	CS	que
Em	em	SPS00	em
nhuma	nenhuma	DI0FS0	nenhum
pte	parte	NCFS000	parte
pode	pode	VMIP3S0	poder
Vm	VM	NP0S000	VM
estar	estar	VMN0000	estar
cõ	com	SPS00	com
mais	mais	RC	mais
seguranca	segurança	NCFS000	segurança
q	que	CS	que
nossa	nossa	DP1FSP	nosso
terra	terra	NCFS000	terra
	,	Fc	,
Em	em	SPS00	em
