Minha	Minha	DP1FSS	meu
irmãa	irmã	NCFS000	irmão
	,	Fc	,
este	este	DD0MS0	este
capricho	capricho	NCMS000	capricho
de	de	SPS00	de
Frdo	Fernando	NP00000	fernando
	,	Fc	,
posso	posso	VMIP1S0	poder
afirmar	afirmar	VMN0000	afirmar
q	que	CS	que
se	se	CS	se
não	não	RN	não
encaminha	encaminha	VMIP3S0	encaminhar
a	a	SPS00	a
consiliar	conciliar	VMN0000	conciliar
a	a	SPS00	a
vosa	vossa	DP2FSP	vosso
grassa	graça	NCFS000	graça
,	,	Fc	,
porq	porque	CS	porque
são	são	VSIP3S0	ser
mto	muito	RQ	muito
diversas	diversas	AQ0FP0	diverso
as	as	DA0FP0	o
demonstrassões	demonstrações	NCFP000	demonstração
cõ	com	SPS00	com
q	que	CS	que
lá	lá	RG	lá
se	se	CS	se
publica	publica	VMIP3S0	publicar
,	,	Fc	,
das	das	SPS00+DA0FP0	de+o
voses	vozes	NCFP000	voz
cõ	com	SPS00	com
q	que	CS	que
cá	cá	RG	cá
se	se	CS	se
declara	declara	VMIP3S0	declarar
;	.	Fp	.
ha	Há	VMIP3S0	haver
poucos	poucos	DI0MP0	pouco
dias	dias	NCMP000	dia
q	que	CS	que
	,	Fc	,
vindo	vindo	VMG0000	vir
desse	desse	SPS00+DD0MS0	de+esse
convento	convento	NCMS000	convento
	,	Fc	,
lhe	lhe	PP3CSD00	lhe
preguntei	perguntei	VMIS1S0	perguntar
se	se	CS	se
D	de	SPS00	de
Cna	Carolina	NP00000	carolina
lhe	lhe	PP3CSD00	lhe
falara	falara	VMIM0S0	falar
nas	nas	SPS00+DA0FP0	em+o
pendensias	pendências	NCFP000	pendência
q	que	PR0CN000	que
tivera	tivera	VMIM0S0	ter
cõvosco	convosco	SPS00+PP2CPO00	com+vós
,	.	Fp	.
disseme	Disse-me	VMIS3S0+PP1CS000	dizer+me
q	que	CS	que
elle	ele	PP3MS000	ele
não	não	RN	não
queria	queria	VMII0S0	querer
ouvir	ouvir	VMN0000	ouvir
essas	essas	DD0FP0	esse
coizas	coisas	NCFP000	coisa
,	,	Fc	,
porq	porque	CS	porque
não	não	RN	não
faria	faria	VMIC0S0	fazer
cazo	caso	NCMS000	caso
de	de	SPS00	de
similhantes	semelhantes	AQ0CP0	semelhante
inimizades	inimizades	NCFP000	inimizade
,	,	Fc	,
pois	pois	CS	pois
soldavão	soldavam	CS	pois
de	de	SPS00	de
hũ	um	DI0MS0	um
dia	dia	NCMS000	dia
pa	para	SPS00	para
o	o	DA0MS0	o
outro	outro	DI0MS0	outro
,	.	Fp	.
eu	Eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
disse	disse	VMIS3S0	dizer
q	que	CS	que
não	não	RN	não
tinha	tinha	VMII0S0	ter
rezão	razão	NCFS000	razão
,	,	Fc	,
pois	pois	CS	pois
avia	havia	VMII0S0	haver
mais	mais	RC	mais
de	de	SPS00	de
hũ	um	DI0MS0	um
anno	ano	NCMS000	ano
,	,	Fc	,
como	como	CS	como
elle	ele	PP3MS000	ele
devia	devia	VMII0S0	dever
saber	saber	VMN0000	saber
,	,	Fc	,
q	que	CS	que
a	a	DA0FS0	o
dezunião	desunião	NCFS000	desunião
durava	durava	VMII0S0	durar
,	.	Fp	.
a	A	SPS00	a
isto	isto	PD0NN000	isto
se	se	P00CN000	se
surrio	sorriu	VMIS3S0	sorrir
,	,	Fc	,
dizẽdo	dizendo	VMG0000	dizer
era	era	VSII0S0	ser
cõ	com	SPS00	com
mui	muito	RQ	muito
boa	boa	AQ0FS0	bom
cauza	causa	NCFS000	causa
,	.	Fp	.
eu	Eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
respondi	respondi	VMIS1S0	responder
q	que	CS	que
quem	quem	PR0CN000	quem
tinha	tinha	VMII0S0	ter
notissia	notícia	NCFS000	notícia
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
se	se	P00CN000	se
passara	passara	VMIM0S0	passar
não	não	RN	não
a	a	DA0FS0	o
contestava	contestava	DA0FS0	o
por	por	SPS00	por
tão	tão	RC	tão
leve	leve	AQ0CS0	leve
como	como	CS	como
a	a	SPS00	a
elle	ele	PP3MS000	ele
lhe	lhe	PP3CSD00	lhe
paressia	parecia	VMII0S0	parecer
	.	Fp	.
mui	Muito	RQ	muito
inteiro	inteiro	AQ0MS0	inteiro
e	e	CC	e
zombando	zombando	VMG0000	zombar
de	de	SPS00	de
tudo	tudo	PI0NN000	tudo
,	,	Fc	,
disse	disse	VMIS3S0	dizer
q	que	CS	que
não	não	RN	não
podia	podia	VMII0S0	poder
falar	falar	VMN0000	falar
;	.	Fp	.
e	E	CC	e
posso	posso	VMIP1S0	poder
sigurarvos	segurar-vos	VMIP1S0	poder
q	que	CS	que
nunca	nunca	RN	nunca
lhe	lhe	PP3CSD00	lhe
veyo	veio	VMIS3S0	vir
à	à	SPS00+DA0FS0	a+o
imaginassão	imaginação	NCFS000	imaginação
q	que	PR0CN000	que
tinha	tinha	VMII0S0	ter
de	de	SPS00	de
q	que	PR0CN000	que
se	se	P00CN000	se
arepender	arrepender	VMN0000	arrepender
,	,	Fc	,
nẽ	nem	CC	nem
vós	vós	PP2CP000	vós
q	que	CS	que
