Cheguo	Chego	VMIP1S0	chegar
o	ao	SPS00+DA0MS0	a+o
caminho	caminho	NCMS000	caminho
a	a	SPS00	a
esta	esta	DD0FS0	este
Villa	vila	NCFS000	vila
pellas	pelas	SPS00+DA0FP0	por+o
des	dez	Z	dez
horas	horas	NCFP000	hora
de	de	SPS00	de
4a fra	4ª-feira	NCFS000	quarta-feira
e	e	CC	e
loguo	logo	RG	logo
despus	depus	VMIS1S0	depor
as	as	DA0FP0	o
reizois	razões	NCFP000	razão
com	com	SPS00	com
a	a	DA0FS0	o
exclução	exclusão	NCFS000	exclusão
q	que	PR0CN000	que
se	se	P00CN000	se
fes	fez	VMIS3S0	fazer
na	na	SPS00+DA0FS0	em+o
forma	forma	NCFS000	forma
q	que	PR0CN000	que
VSa	VSa	NP00000	VSa
me	me	PP1CS000	me
mandou	mandou	VMIS3S0	mandar
,	,	Fc	,
exçepto	exceto	SPS00	exceto
a	a	DA0FS0	o
de	de	SPS00	de
Sebastião	Sebastião	NP00000	sebastião
Roz	Rodrigues	NP00000	rodrigues
e	e	CC	e
sua	sua	DP3FS0	seu
mer	mulher	NCFS000	mulher
Briatis	Beatriz	NP00000	beatriz
Soares	Soares	NP00000	soares
,	,	Fc	,
q	que	CS	que
na	na	SPS00+DA0FS0	em+o
noite	noite	NCFS000	noite
de	de	SPS00	de
dominguo	domingo	NCMS000	domingo
passado	passado	VMP00SM	passar
se	se	P00CN000	se
forão	foram	VMIS3P0	ir
fugidos	fugidos	VMP00PM	fugir
pa	para	SPS00	para
Castella	Castela	NP00000	castela
	.	Fp	.
expoe	Expõe	VMIP3S0	expor
informalos	informá-los	VMN0000+PP3MPA00	informar+o
q	que	CS	que
tomei	tomei	VMIS1S0	tomar
e	aí	RG	aí
noticias	notícias	NCFP000	notícia
q	que	PR0CN000	que
se	se	P00CN000	se
me	me	PP1CS000	me
derão	deram	VMIS3P0	dar
tam	tão	RC	tão
livres	livres	AQ0CP0	livre
	.	Fp	.
achei	Achei	VMIS1S0	achar
ser	ser	VSN0000	ser
impossivel	impossível	AQ0CS0	impossível
