Meu	Meu	DP1MSS	meu
Sr	Senhor	NP00000	senhor
;	,	Fc	,
não	não	RN	não
esqueça	esqueça	VMSP0S0	esquecer
o	o	DA0MS0	o
ponto	ponto	NCMS000	ponto
de	de	SPS00	de
comũ	comum	AQ0CS0	comum
assento	assento	NCMS000	assento
da	da	SPS00+DA0FS0	de+o
privação	privação	NCFS000	privação
da	da	SPS00+DA0FS0	de+o
Patria	pátria	NCFS000	pátria
,	,	Fc	,
e	e	CC	e
ainda	ainda	RG	ainda
so	só	RG	só
monasterii	monasterii	RG	só
pois	pois	CS	pois
he	é	VSIP3S0	ser
maté-ria	matéria	NCFS000	matéria
de	de	SPS00	de
gravissima	gravíssima	AQSFS0	grave
consequencia	consequência	NCFS000	consequência
pa	para	SPS00	para
o	o	DA0MS0	o
co-mũ	comum	NCMS000	comum
e	e	CC	e
homẽ	homem	NCMS000	homem
de	de	SPS00	de
virtude	virtude	NCFS000	virtude
	,	Fc	,
e	e	CC	e
he	é	VSIP3S0	ser
imfa-mia	infâmia	NCFS000	infâmia
propria	própria	AQ0FS0	próprio
grandissima	grandíssima	AQSFS0	grande
:	,	Fc	,
pois	pois	CS	pois
quẽ	quem	PR0CN000	quem
vendo	vendo	VMG0000	ver
a	a	SPS00	a
hũ	um	DI0MS0	um
homẽ	homem	NCMS000	homem
privado	privado	VMP00SM	privar
de	de	SPS00	de
sua	sua	DP3FS0	seu
casa	casa	NCFS000	casa
	,	Fc	,
vivenda	vivenda	NCFS000	vivenda
	,	Fc	,
ea	etc	NCMS000	etc
não	não	RN	não
dira	dirá	VMIF3S0	dizer
q	que	CS	que
foy	foi	VSIS3S0	ser
por	por	SPS00	por
hũ	um	DI0MS0	um
crime	crime	NCMS000	crime
atroz	atroz	AQ0CS0	atroz
.	.	Fp	.
Vão	Vão	VMIP3P0	ir
os	os	DA0MP0	o
pontos	pontos	NCMP000	ponto
das	das	SPS00+DA0FP0	de+o
con-cluzoes	Conclusões	NCFP000	conclusão
de	de	SPS00	de
gregorio	Gregório	NP00000	gregório
Barreto	Barreto	NP00000	barreto
,	,	Fc	,
q	que	PR0CN000	que
concor-dão	concordam	VMIP3P0	concordar
bem	bem	RG	bem
ao	ao	SPS00+DA0MS0	a+o
negocio	negócio	NCMS000	negócio
.	.	Fp	.
Estes	Estes	DD0MP0	este
pontos	pontos	NCMP000	ponto
se	se	P00CN000	se
achão	acham	VMIP3P0	achar
todos	todos	PI0MP000	todo
na	na	SPS00+DA0FS0	em+o
conclusão	Conclusão	NCFS000	conclusão
7a	sétima	AO0FS0	sétimo
e	e	CC	e
8a	oitava	AQ0FS0	oitavo
e	e	CC	e
se	se	P00CN000	se
achão	acham	VMIP3P0	achar
entre	entre	SPS00	entre
outros	outros	DI0MP0	outro
mtos	muitos	PI0MP000	muito
.	.	Fp	.
Note	Note	VMSP0S0	notar
o	o	DA0MS0	o
12	12	Z	12
da	da	SPS00+DA0FS0	de+o
evi-dentia	evidentia	SPS00+DA0FS0	de+o
in	in	SPS00+DA0FS0	de+o
attestante	attestante	SPS00+DA0FS0	de+o
:	,	Fc	,
pois	pois	CS	pois
quem	quem	PR0CN000	quem
lhe	lhe	PP3CSD00	lhe
examinou	examinou	VMIS3S0	examinar
se	se	P00CN000	se
ateve	ateve	X	X
	,	Fc	,
ee	etc	NCMS000	etc
?	.	Fi	.
A	A	SPS00	a
privar	privar	VMN0000	privar
hũ	um	DI0MS0	um
homem	homem	NCMS000	homem
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
antiga	antiga	AQ0FS0	antigo
habitação	habitação	NCFS000	habitação
,	,	Fc	,
caza	casa	NCFS000	casa
	,	Fc	,
et	etc	NCMS000	etc
he	é	VSIP3S0	ser
pena	pena	NCFS000	pena
gravissima	gravíssima	AQSFS0	grave
e	e	CC	e
assim	assim	RG	assim
peccado	pecado	NCMS000	pecado
gravissimo	gravíssimo	AQSMS0	grave
	,	Fc	,
ee	etc	NCMS000	etc
	.	Fp	.
