Muitas	Muitas	DI0FP0	muito
vezes	vezes	NCFP000	vez
elege	elege	VMIP3S0	eleger
Deus	Deus	NP00000	deus
a	a	SPS00	a
limitados	limitados	VMP00PM	limitar
sogeitos	sujeitos	NCMP000	sujeito
para	para	SPS00	para
mostrar	mostrar	VMN0000	mostrar
ao	ao	SPS00+DA0MS0	a+o
mundo	mundo	NCMS000	mundo
grandes	grandes	AQ0CP0	grande
maravilhas	maravilhas	NCFP000	maravilha
suas	suas	DP3FP0	seu
,	,	Fc	,
pricipalmte	principalmente	RG	principalmente
aos	aos	SPS00+DA0MP0	a+o
perseguidores	perseguidores	NCMP000	perseguidor
de	de	SPS00	de
nossa	nossa	DP1FSP	nosso
sancta	santa	AQ0FS0	santo
fee	fé	NCFS000	fé
catholica	católica	AQ0FS0	católico
	.	Fp	.
na	Na	SPS00+DA0FS0	em+o
ocazião	ocasião	NCFS000	ocasião
presente	presente	AQ0CS0	presente
	,	Fc	,
digo	digo	VMIP1S0	dizer
a	a	SPS00	a
VSas	VSas	NP00000	VSa
da	da	SPS00+DA0FS0	de+o
parte	parte	NCFS000	parte
do	do	SPS00+DA0MS0	de+o
mesmo	mesmo	AQ0MS0	mesmo
sro	Senhor	NP00000	senhor
	,	Fc	,
ponhão	ponham	VMSP3P0	pôr
cobro	cobro	NCMS000	cobro
e	e	CC	e
remedio	remédio	NCMS000	remédio
na	na	SPS00+DA0FS0	em+o
profanidade	profanidade	NCFS000	profanidade
dos	dos	SPS00+DA0MP0	de+o
carçeres	cárceres	NCMP000	cárcere
do	do	SPS00+DA0MS0	de+o
samto	Santo	AQ0MS0	santo
offiçio	Ofício	NP00000	ofício
	,	Fc	,
pois	pois	CS	pois
estão	estão	VMIP3P0	estar
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
dias	dias	NCMP000	dia
tendo	tendo	VMG0000	ter
escritos	escritos	VMP00PM	escrever
a	a	DA0FS0	o
molher	mulher	NCFS000	mulher
de	de	SPS00	de
Duarte	Duarte	NP00000	duarte
da	da	SPS00+DA0FS0	de+o
silva	Silva	NP00000	silva
	,	Fc	,
por	por	SPS00	por
mão	mão	NCFS000	mão
de	de	SPS00	de
manoel	Manuel	NP00000	manuel
da	da	SPS00+DA0FS0	de+o
gama	Gama	NP00000	gama
de	de	SPS00	de
padua	Pádua	NP00000	pádua
,	,	Fc	,
e	e	CC	e
no	no	SPS00+DA0MS0	em+o
carçere	cárcere	NCMS000	cárcere
se	se	P00CN000	se
chama	chama	VMIP3S0	chamar
campainha	Campainha	NP00000	campainha
	,	Fc	,
e	e	CC	e
Ro	Rodrigo	NP00000	rodrigo
aires	Aires	NP00000	aires
brandão	Brandão	NP00000	brandão
	,	Fc	,
que	que	PR0CN000	que
he	é	VSIP3S0	ser
quem	quem	PR0CN000	quem
corre	corre	VMIP3S0	correr
com	com	SPS00	com
a	a	DA0FS0	o
secretaria	secretaria	NCFS000	secretaria
pa	para	SPS00	para
disfarçar	disfarçar	VMN0000	disfarçar
o	o	DA0MS0	o
negoçio	negócio	NCMS000	negócio
;	.	Fp	.
e	E	CC	e
desta	desta	SPS00+DD0FS0	de+este
correspondençia	correspondência	NCFS000	correspondência
sabe	sabe	VMIP3S0	saber
somte	somente	RG	somente
a	a	DA0FS0	o
molher	mulher	NCFS000	mulher
do	do	SPS00+DA0MS0	de+o
