Ando	Ando	VMIP1S0	andar
,	,	Fc	,
eu	eu	PP1CSN00	eu
estou	estou	VMIP1S0	estar
fora	fora	RG	fora
de	de	SPS00	de
mi	mim	PP1CSO00	mim
	.	Fp	.
deixa	Deixa	VMIP3S0	deixar
vm	VM	NP00000	VM
ordem	ordem	NCFS000	ordem
o	ao	SPS00+DA0MS0	a+o
Cunha	Cunha	NP00000	cunha
pa	para	SPS00	para
deixar	deixar	VMN0000	deixar
aqui	aqui	RG	aqui
o	o	DA0MS0	o
dro	dinheiro	NCMS000	dinheiro
q	que	PR0CN000	que
vm	VM	NP00000	VM
disse	disse	VMIS3S0	dizer
,	,	Fc	,
e	e	CC	e
diserlhe	dizer-lhe	VMIP2S0+PP3CSD00	dizer+lhe
q	que	CS	que
fosse	fosse	VMSI0S0	ir
tomar	tomar	VMN0000	tomar
as	as	DA0FP0	o
cazas	casas	NCFP000	casa
por	por	SPS00	por
tres	três	Z	três
mezes	meses	NCMP000	mês
,	,	Fc	,
e	e	CC	e
eu	eu	PP1CSN00	eu
assim	assim	RG	assim
lho	lho	PP3CSD00+PP3MSA00	lhe+o
disse	disse	VMIS3S0	dizer
,	.	Fp	.
e	E	CC	e
	,	Fc	,
pera	para	SPS00	para
não	não	RN	não
aver	haver	VMN0000	haver
desaviamento	desaviamento	NCMS000	desaviamento
	,	Fc	,
q	que	CS	que
	,	Fc	,
se	se	CS	se
as	as	PP3FPA00	o
não	não	RN	não
quisesse	quisesse	VMSI0S0	querer
dar	dar	VMN0000	dar
por	por	SPS00	por
tres	três	Z	três
,	,	Fc	,
q	que	CS	que
as	as	PP3FPA00	o
tomasse	tomasse	VMSI0S0	tomar
por	por	SPS00	por
seis	seis	Z	seis
,	,	Fc	,
e	e	CC	e
porq	porque	CS	porque
aqui	aqui	RG	aqui
esta-va	estava	VMII0S0	estar
o	o	DA0MS0	o
carceres	Cáceres	NP00000	cáceres
,	,	Fc	,
q	que	PR0CN000	que
foi	foi	VMIS3S0	ir
com	com	SPS00	com
elle	ele	PP3MS000	ele
ver	ver	VMN0000	ver
as	as	DA0FP0	o
ca-zas	casas	NCFP000	casa
,	,	Fc	,
não	não	RN	não
deixou	deixou	VMIS3S0	deixar
o	o	DA0MS0	o
dro	dinheiro	NCMS000	dinheiro
	!	Fa	!
q	Que	CS	que
avia	havia	VMII0S0	haver
de	de	SPS00	de
tornar	tornar	VMN0000	tornar
por	por	SPS00	por
aqui	aqui	RG	aqui
e	e	CC	e
deixaria	deixaria	VMIC0S0	deixar
o	o	DA0MS0	o
dro	dinheiro	NCMS000	dinheiro
,	,	Fc	,
o	o	DA0MS0	o
