Estimarei	Estimarei	VMIF1S0	estimar
que	que	CS	que
vm	VM	NP00000	VM
se	se	P00CN000	se
achae	ache	VMSP0S0	achar
mto	muito	RQ	muito
melhorado	melhorado	VMP00SM	melhorar
e	e	CC	e
he	é	VSIP3S0	ser
de	de	SPS00	de
noso	Nosso	DP1MSP	nosso
sro	Senhor	NP00000	senhor
o	o	DA0MS0	o
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
desejo	desejo	VMIP1S0	desejar
	.	Fp	.
falei	Falei	VMIS1S0	falar
então	então	RG	então
cö	com	SPS00	com
o	o	DA0MS0	o
letrado	letrado	NCMS000	letrado
	.	Fp	.
dise	Disse	VMIS3S0	dizer
que	que	CS	que
não	não	RN	não
era	era	VSII0S0	ser
nececario	necessário	AQ0MS0	necessário
fazer	fazer	VMN0000	fazer
piticão	petição	NCFS000	petição
	,	Fc	,
q	que	CS	que
o	o	DA0MS0	o
juis	Juiz	NP00000	juiz
q	que	CS	que
não	não	RN	não
avia	havia	VMII0S0	haver
de	de	SPS00	de
vender	vender	VMN0000	vender
fazenda	fazenda	NCFS000	fazenda
e	e	CC	e
q	que	CS	que
	,	Fc	,
vendendoa	vendendo-a	VMG0000+PP3FSA00	vender+o
	,	Fc	,
emtão	então	RG	então
Agravaria	agravaria	VMIC0S0	agravar
e	e	CC	e
previa	previa	VMII0S0	prever
embargos	embargos	NCMP000	embargo
	.	Fp	.
e	E	CC	e
	,	Fc	,
fazendo	fazendo	VMG0000	fazer
alta	alta	AQ0FS0	alto
piticão	petição	NCFS000	petição
	,	Fc	,
se	se	P00CN000	se
offendaria	ofenderia	VMIC0S0	ofender
o	o	DA0MS0	o
juis	Juiz	NP00000	juiz
e	e	CC	e
que	que	CS	que
seria	seria	VSIC0S0	ser
piior	pior	RC	pior
	.	Fp	.
Aqui	Aqui	RG	aqui
me	me	PP1CS000	me
dise	disse	VMIS3S0	dizer
agora	agora	RG	agora
huã	uma	DI0FS0	um
posoa	pessoa	NCFS000	pessoa
q	que	CS	que
o	o	PP3MSA00	o
fizese	fizesse	VMSI0S0	fazer
ou	ou	CC	ou
ao	ao	SPS00+DA0MS0	a+o
menos	menos	RC	menos
q	que	CS	que
requerese	requeresse	VMSI0S0	requerer
em	em	SPS00	em
auodiensia	audiência	NCFS000	audiência
q	que	CS	que
se	se	P00CN000	se
não	não	RN	não
vendese	vendesse	VMSI0S0	vender
fasenda	fazenda	NCFS000	fazenda
sem	sem	SPS00	sem
eu	eu	PP1CSN00	eu
ser	ser	VSN0000	ser
requerida	requerida	VMP00SF	requerer
	.	Fp	.
Agora	Agora	RG	agora
veio	veio	VMIS3S0	vir
o	o	DA0MS0	o
moso	moço	NCMS000	moço
da	da	SPS00+DA0FS0	de+o
audiensia	audiência	NCFS000	audiência
e	e	CC	e
se	se	P00CN000	se
tratou	tratou	VMIS3S0	tratar
da	da	SPS00+DA0FS0	de+o
vinha	vinha	NCFS000	vinha
de	de	SPS00	de
banhos	Banhos	NP00000	banho
sequos	Secos	NP00000	seco
	.	Fp	.
não	Não	RN	não
tem	tem	VMIP3S0	ter
vontade	vontade	NCFS000	vontade
q	que	CS	que
eu	eu	PP1CSN00	eu
a	a	PP3FSA00	o
leve	leve	VMSP0S0	levar
e	e	CC	e
o	o	DA0MS0	o
Ldo	Licenciado	NP00000	licenciado
lansou	lançou	VMIS3S0	lançar
nela	nela	SPS00+PP3FS000	em+ele
outo	oito	Z	oito
mil	mil	Z	mil
e	e	CC	e
quinhentos	quinhentos	Z	quinhentos
	.	Fp	.
Respondeu	Respondeu	VMIS3S0	responder
q	que	CS	que
avia	havia	VMII0S0	haver
de	de	SPS00	de
hir	ir	VMN0000	ir
a	à	SPS00+DA0FS0	a+o
prasa	praça	NCFS000	praça
e	e	CC	e
pa	para	SPS00	para
alimentos	alimentos	NCMP000	alimento
q	que	CS	que
eu	eu	PP1CSN00	eu
q	que	CS	que
tinha	tinha	VMII0S0	ter
