Culpese	Culpe-se	VMSP0S0+P00CN000	culpar+se
Vm	VM	NP00000	VM
da	da	SPS00+DA0FS0	de+o
confiansa	confiança	NCFS000	confiança
	,	Fc	,
q	que	PR0CN000	que
he	é	VSIP3S0	ser
de	de	SPS00	de
criado	criado	NCMS000	criado
.	.	Fp	.
Importame	Importa-me	VMIP3S0+PP1CS000	importar+me
que	que	CS	que
Vm	VM	NP00000	VM
escreva	escreva	VMSP0S0	escrever
largamte	largamente	RG	largamente
ao	ao	SPS00+DA0MS0	a+o
sr	senhor	NP00000	senhor
V Rei	Vice-Rei	NP00000	vice-rei
e	e	CC	e
a	a	SPS00	a
Anto	António	NP00000	antónio
de	de	SPS00	de
faria	Faria	NP00000	faria
das	das	SPS00+DA0FP0	de+o
insolencias	insolências	NCFP000	insolência
e	e	CC	e
exorbitãseas	exorbitâncias	NCFP000	exorbitância
de	de	SPS00	de
frei	frei	NP00000	frei
frco	Francisco	NP00000	francisco
da	da	SPS00+DA0FS0	de+o
fonceca	Fonseca	NP00000	fonseca
e	e	CC	e
da	da	SPS00+DA0FS0	de+o
conjuracão	conjuração	NCFS000	conjuração
aleivoza	aleivosa	AQ0FS0	aleivoso
q	que	PR0CN000	que
fulminou	fulminou	VMIS3S0	fulminar
contra	contra	SPS00	contra
mi	mim	PP1CSO00	mim
.	,	PP1CSO00	mim
ajuntandose	ajuntando-se	VMG0000+P00CN000	ajuntar+se
com	com	SPS00	com
João	João	NP00000	joão
de	de	SPS00	de
saa	Sá	NP00000	sá
e	e	CC	e
com	com	SPS00	com
João	João	NP00000	joão
gomes	Gomes	NP00000	gomes
de	de	SPS00	de
lemos	Lemos	NP00000	lemos
	,	Fc	,
indusindo	induzindo	VMG0000	induzir
soldados	soldados	NCMP000	soldado
q	que	PR0CN000	que
falsamente	falsamente	RG	falsamente
testemunhasem	testemunhassem	VMSI3P0	testemunhar
contra	contra	SPS00	contra
mi	mim	PP1CSO00	mim
	.	Fp	.
e	E	CC	e
advirta	advirta	VMSP0S0	advertir
Vm	VM	NP00000	VM
q	que	CS	que
lhes	lhes	PP3CPD00	lhe
diga	diga	VMSP0S0	dizer
como	como	PA000000	como
este	este	DD0MS0	este
frade	frade	NCMS000	frade
he	é	VSIP3S0	ser
meu	meu	DP1MSS	meu
inimigo	inimigo	NCMS000	inimigo
capital	capital	AQ0CS0	capital
	,	Fc	,
por	por	SPS00	por
lhe	lhe	PP3CSD00	lhe
querer	querer	VMN0000	querer
prender	prender	VMN0000	prender
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
manceba	manceba	NCFS000	mancebo
e	e	CC	e
defender	defender	VMN0000	defender
a	a	DA0FS0	o
Justisa	justiça	NCFS000	justiça
Real	real	AQ0CS0	real
e	e	CC	e
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
consentir	consentir	VMN0000	consentir
as	as	DA0FP0	o
suas	suas	DP3FP0	seu
Ladroisses	ladroíces	NCFP000	ladroíce
	.	Fp	.
porque	Porque	CS	porque
tão	tão	RC	tão
mao	mau	AQ0MS0	mau
homẽ	homem	NCMS000	homem
	,	Fc	,
tudo	tudo	PI0NN000	tudo
se	se	P00CN000	se
pode	pode	VMIP3S0	poder
presumir	presumir	VMN0000	presumir
delle	dele	SPS00+PP3MS000	de+ele
	,	Fc	,
posto	posto	VMP00SM	pôr
que	que	CS	que
o	o	DA0MS0	o
sr	senhor	NP00000	senhor
V Rei	Vice-Rei	NP00000	vice-rei
e	e	CC	e
o	o	DA0MS0	o
Inquisidor	inquisidor	NCMS000	inquisidor
são	são	VSIP3P0	ser
de	de	SPS00	de
justisa	justiça	NCFS000	justiça
e	e	CC	e
Verdade	verdade	NCFS000	verdade
	,	Fc	,
e	e	CC	e
ella	ela	PP3FS000	ele
pode	pode	VMIP3S0	poder
mais	mais	RC	mais
q	que	CS	que
a	a	DA0FS0	o
mentira	mentira	NCFS000	mentira
	,	Fc	,
de	de	SPS00	de
que	que	PR0CN000	que
Ds	Deus	NP00000	deus
livre	livre	VMSP0S0	livrar
e	e	CC	e
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vm	VM	NP00000	VM
	.	Fp	.
de	De	Fp	.
Caza	casa	Fp	.
	,	Fp	.
20	20	Fp	.
de	de	Fp	.
fro	fevereiro	Fp	.
642	642	Fp	.
	,	Fp	.
dor	doutor	Fp	.
Christovão	Cristóvão	Fp	.
Ltãm	Leitão	Fp	.
de	de	Fp	.
abreu	Abreu	Fp	.
