Tenho	Tenho	VAIP1S0	ter
posto	posto	VMP0000	pôr
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
cuidado	cuidado	NCMS000	cuidado
no	no	SPS00+DA0MS0	em+o
q	que	PR0CN000	que
VS	VSa	NP00000	VSa
me	me	PP1CS000	me
ordenou	ordenou	VMIS3S0	ordenar
a	a	SPS00	a
respeitto	respeito	NCMS000	respeito
de	de	SPS00	de
Ines	Inês	NP00000	inês
de	de	SPS00	de
Carçeres	Cárceres	NP00000	cárceres
;	.	Fp	.
esta	Esta	DD0FS0	este
molher	mulher	NCFS000	mulher
está	está	VMIP3S0	estar
incapas	incapaz	AQ0CS0	incapaz
de	de	SPS00	de
melhoria	melhoria	NCFS000	melhoria
e	e	CC	e
empregada	empregada	VMP00SF	empregar
em	em	SPS00	em
huã	uma	DI0FS0	um
Cama	cama	NCFS000	cama
,	,	Fc	,
assi	assim	RG	assim
o	o	PP3MSA00	o
rezolve	resolve	VMIP3S0	resolver
o	o	DA0MS0	o
Mediço	médico	NCMS000	médico
e	e	CC	e
	,	Fc	,
por	por	SPS00	por
assim	assim	RG	assim
ser	ser	VSN0000	ser
	,	Fc	,
lhe	lhe	PP3CSD00	lhe
nao	não	RN	não
aplica	aplica	VMIP3S0	aplicar
ja	já	RG	já
medeçina	medicina	NCFS000	medicina
alguã	alguma	DI0FS0	algum
;	.	Fp	.
Nem	Nem	CCN	nem
há	há	VMIP3S0	haver
esperança	esperança	NCFS000	esperança
de	de	SPS00	de
saude	saúde	NCFS000	saúde
,	,	Fc	,
a	a	DA0FS0	o
idade	idade	NCFS000	idade
he	é	VSIP3S0	ser
mta	muita	DI0FS0	muito
e	e	CC	e
a	a	DA0FS0	o
dispozição	disposição	NCFS000	disposição
desta	desta	SPS00+PD0FS000	de+este
molher	mulher	NCFS000	mulher
sempre	sempre	RG	sempre
foi	foi	VSIS3S0	ser
fraquissima	fraquíssima	AQSFS0	fraco
e	e	CC	e
a	a	SPS00	a
modo	modo	NCMS000	modo
de	de	SPS00	de
Tizica	tísica	NCFS000	tísico
.	.	Fp	.
VS	VSa	NP00000	VSa
disporá	disporá	VMIF3S0	dispor
o	o	DA0MS0	o
q	que	PR0CN000	que
for	for	VSSF0S0	ser
mais	mais	RC	mais
servico	serviço	NCMS000	serviço
de	de	SPS00	de
Ds	Deus	NP00000	deus
;	.	Fp	.
elle	Ele	PP3MS000	ele
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
VS	VSa	NP00000	VSa
	.	Fp	.
Mello	Melo	NP00000	melo
	,	Fc	,
e	e	CC	e
de	de	SPS00	de
Maio	maio	NCMS000	maio
6	6	Z	6
de	de	SPS00	de
683	683	Z	683
	.	Fp	.
Capellão	Capelão	NCMS000	capelão
de	de	SPS00	de
VS	VSa	NP00000	VSa
	,	Fc	,
Mel	Manuel	NP00000	manuel
de	de	SPS00	de
Almda	Almeida	NP00000	almeida
Vellozo	Veloso	NP00000	veloso
